Date,Value
1996-12-01,100.00
1997-01-01,101.53
1997-02-01,103.03
1997-03-01,101.31
1997-04-01,103.40
1997-05-01,109.85
1997-06-01,114.93
1997-07-01,120.19
1997-08-01,112.60
1997-09-01,118.29
1997-10-01,112.58
1997-11-01,113.36
1997-12-01,115.15
1998-01-01,116.38
1998-02-01,123.87
1998-03-01,130.22
1998-04-01,132.01
1998-05-01,129.23
1998-06-01,129.15
1998-07-01,129.14
1998-08-01,108.89
1998-09-01,110.64
1998-10-01,121.04
1998-11-01,127.87
1998-12-01,130.73
1999-01-01,131.48
1999-02-01,130.00
1999-03-01,136.52
1999-04-01,147.81
1999-05-01,142.29
1999-06-01,147.45
1999-07-01,147.84
1999-08-01,145.87
1999-09-01,142.73
1999-10-01,148.07
1999-11-01,148.11
1999-12-01,154.94
2000-01-01,147.44
2000-02-01,142.34
2000-03-01,153.33
2000-04-01,150.21
2000-05-01,151.05
2000-06-01,152.51
2000-07-01,151.43
2000-08-01,155.69
2000-09-01,152.61
2000-10-01,153.22
2000-11-01,146.05
2000-12-01,152.94
2001-01-01,155.39
2001-02-01,147.82
2001-03-01,139.99
2001-04-01,149.25
2001-05-01,148.67
2001-06-01,144.64
2001-07-01,142.45
2001-08-01,137.79
2001-09-01,124.66
2001-10-01,124.70
2001-11-01,130.45
2001-12-01,131.72
2002-01-01,128.51
2002-02-01,126.27
2002-03-01,134.41
2002-04-01,131.00
2002-05-01,132.07
2002-06-01,123.64
2002-07-01,111.71
2002-08-01,112.19
2002-09-01,98.68
2002-10-01,105.53
2002-11-01,113.14
2002-12-01,106.76
2003-01-01,104.26
2003-02-01,101.82
2003-03-01,100.31
2003-04-01,110.95
2003-05-01,119.04
2003-06-01,121.70
2003-07-01,124.47
2003-08-01,127.59
2003-09-01,128.47
2003-10-01,136.27
2003-11-01,138.54
2003-12-01,149.38
2004-01-01,151.31
2004-02-01,154.83
2004-03-01,154.53
2004-04-01,150.96
2004-05-01,152.06
2004-06-01,156.32
2004-07-01,153.66
2004-08-01,155.69
2004-09-01,158.88
2004-10-01,162.88
2004-11-01,172.16
2004-12-01,178.97
2005-01-01,175.93
2005-02-01,183.20
2005-03-01,179.21
2005-04-01,175.47
2005-05-01,177.48
2005-06-01,180.15
2005-07-01,185.75
2005-08-01,187.08
2005-09-01,193.51
2005-10-01,187.70
2005-11-01,194.78
2005-12-01,199.68
2006-01-01,209.25
2006-02-01,210.80
2006-03-01,214.86
2006-04-01,223.68
2006-05-01,216.11
2006-06-01,216.41
2006-07-01,220.73
2006-08-01,226.30
2006-09-01,229.65
2006-10-01,238.58
2006-11-01,245.26
2006-12-01,252.46
2007-01-01,254.10
2007-02-01,253.24
2007-03-01,258.31
2007-04-01,269.82
2007-05-01,278.16
2007-06-01,276.54
2007-07-01,269.94
2007-08-01,268.65
2007-09-01,281.44
2007-10-01,290.31
2007-11-01,275.25
2007-12-01,271.02
2008-01-01,251.81
2008-02-01,248.83
2008-03-01,246.07
2008-04-01,259.63
2008-05-01,259.72
2008-06-01,235.20
2008-07-01,230.65
2008-08-01,226.79
2008-09-01,202.49
2008-10-01,163.21
2008-11-01,154.56
2008-12-01,159.82
2009-01-01,142.49
2009-02-01,125.84
2009-03-01,137.04
2009-04-01,156.59
2009-05-01,173.26
2009-06-01,171.43
2009-07-01,187.61
2009-08-01,197.48
2009-09-01,205.72
2009-10-01,201.10
2009-11-01,209.12
2009-12-01,212.06
2010-01-01,204.25
2010-02-01,205.82
2010-03-01,219.16
2010-04-01,219.31
2010-05-01,198.60
2010-06-01,192.23
2010-07-01,208.52
2010-08-01,200.91
2010-09-01,218.05
2010-10-01,224.97
2010-11-01,217.85
2010-12-01,235.23
2011-01-01,241.51
2011-02-01,249.70
2011-03-01,248.45
2011-04-01,258.29
2011-05-01,251.88
2011-06-01,248.08
2011-07-01,241.47
2011-08-01,223.48
2011-09-01,204.50
2011-10-01,224.99
2011-11-01,217.74
2011-12-01,219.44
2012-01-01,231.16
2012-02-01,242.22
2012-03-01,242.89
2012-04-01,238.62
2012-05-01,217.47
2012-06-01,230.53
2012-07-01,233.17
2012-08-01,237.79
2012-09-01,246.17
2012-10-01,246.39
2012-11-01,247.64
2012-12-01,255.47
2013-01-01,269.19
2013-02-01,267.90
2013-03-01,272.29
2013-04-01,281.98
2013-05-01,281.15
2013-06-01,273.42
2013-07-01,286.68
2013-08-01,279.73
2013-09-01,293.40
2013-10-01,306.27
2013-11-01,310.10
2013-12-01,314.89
2014-01-01,302.46
2014-02-01,315.85
2014-03-01,320.90
2014-04-01,326.06
2014-05-01,331.33
2014-06-01,338.11
2014-07-01,334.43
2014-08-01,340.48
2014-09-01,328.79
2014-10-01,329.37
2014-11-01,332.30
2014-12-01,326.08
2015-01-01,317.55
2015-02-01,334.28
2015-03-01,327.22
2015-04-01,339.76
2015-05-01,338.06
2015-06-01,328.81
2015-07-01,328.89
2015-08-01,306.75
2015-09-01,295.41
2015-10-01,317.99
2015-11-01,314.09
2015-12-01,307.88
2016-01-01,290.14
2016-02-01,288.68
2016-03-01,310.89
2016-04-01,318.47
2016-05-01,317.42
2016-06-01,315.56
2016-07-01,328.03
2016-08-01,331.65
2016-09-01,332.90
2016-10-01,331.25
2016-11-01,338.42
2016-12-01,349.25
2017-01-01,355.20
2017-02-01,364.18
2017-03-01,366.84
2017-04-01,369.17
2017-05-01,373.38
2017-06-01,378.13
2017-07-01,388.13
2017-08-01,386.50
2017-09-01,396.16
2017-10-01,401.30
2017-11-01,408.61
2017-12-01,415.92
