Date,Value
1969-12-01,100.00
1970-01-01,94.53
1970-02-01,97.56
1970-03-01,97.95
1970-04-01,88.88
1970-05-01,83.36
1970-06-01,81.39
1970-07-01,86.53
1970-08-01,89.46
1970-09-01,92.44
1970-10-01,91.16
1970-11-01,93.30
1970-12-01,98.02
1971-01-01,102.61
1971-02-01,103.79
1971-03-01,108.43
1971-04-01,112.07
1971-05-01,109.50
1971-06-01,110.70
1971-07-01,109.02
1971-08-01,111.49
1971-09-01,110.52
1971-10-01,106.43
1971-11-01,107.43
1971-12-01,117.19
1972-01-01,121.58
1972-02-01,126.35
1972-03-01,128.20
1972-04-01,129.99
1972-05-01,132.73
1972-06-01,129.74
1972-07-01,131.85
1972-08-01,135.69
1972-09-01,133.72
1972-10-01,134.92
1972-11-01,142.09
1972-12-01,144.79
1973-01-01,145.22
1973-02-01,146.32
1973-03-01,146.62
1973-04-01,139.33
1973-05-01,139.01
1973-06-01,139.98
1973-07-01,143.42
1973-08-01,137.56
1973-09-01,141.64
1973-10-01,143.17
1973-11-01,124.71
1973-12-01,123.79
1974-01-01,124.84
1974-02-01,126.89
1974-03-01,123.80
1974-04-01,121.85
1974-05-01,117.06
1974-06-01,113.49
1974-07-01,106.89
1974-08-01,96.69
1974-09-01,87.80
1974-10-01,96.32
1974-11-01,94.93
1974-12-01,93.48
1975-01-01,107.24
1975-02-01,116.84
1975-03-01,117.83
1975-04-01,122.84
1975-05-01,125.87
1975-06-01,127.58
1975-07-01,120.65
1975-08-01,118.92
1975-09-01,114.06
1975-10-01,122.04
1975-11-01,125.50
1975-12-01,125.73
1976-01-01,137.09
1976-02-01,136.20
1976-03-01,137.94
1976-04-01,137.06
1976-05-01,134.91
1976-06-01,139.19
1976-07-01,138.02
1976-08-01,137.84
1976-09-01,139.13
1976-10-01,134.40
1976-11-01,134.01
1976-12-01,144.23
1977-01-01,139.53
1977-02-01,139.06
1977-03-01,138.34
1977-04-01,140.00
1977-05-01,138.25
1977-06-01,143.61
1977-07-01,141.84
1977-08-01,142.52
1977-09-01,144.45
1977-10-01,142.15
1977-11-01,144.09
1977-12-01,147.12
1978-01-01,142.95
1978-02-01,142.03
1978-03-01,148.63
1978-04-01,155.50
1978-05-01,157.64
1978-06-01,159.39
1978-07-01,171.08
